Date,BDI,BDI_status,BCI,BCI_status,BPI,BPI_status,BSI,BSI_status,BHSI,BHSI_status,BCI_7d_vol,vessel_availability_index,BDI_30d_roc,shipping_demand_index,iron_ore_price,iron_ore_status,coking_coal_price,coking_coal_status,china_iron_ore_imports,china_iron_ore_imports_status,usd_inr_rate,usd_inr_status,bunker_vlsfo_price,bunker_ifo380_price,bunker_status,commodity_demand_index,global_trade_index,global_fleet_utilization_pct,BDI_lag_1,BDI_lag_7,BDI_lag_30,BDI_7d_avg,BDI_30d_avg,BCI_lag_1,BCI_lag_7,BCI_lag_30,BCI_7d_avg,BCI_30d_avg,BPI_lag_1,BPI_lag_7,BPI_lag_30,BPI_7d_avg,BPI_30d_avg,BSI_lag_1,BSI_lag_7,BSI_lag_30,BSI_7d_avg,BSI_30d_avg,BHSI_lag_1,BHSI_lag_7,BHSI_lag_30,BHSI_7d_avg,BHSI_30d_avg,iron_ore_price_lag_1,iron_ore_price_lag_7,iron_ore_price_lag_30,iron_ore_price_7d_avg,iron_ore_price_30d_avg,coking_coal_price_lag_1,coking_coal_price_lag_7,coking_coal_price_lag_30,coking_coal_price_7d_avg,coking_coal_price_30d_avg,usd_inr_rate_lag_1,usd_inr_rate_lag_7,usd_inr_rate_lag_30,usd_inr_rate_7d_avg,usd_inr_rate_30d_avg,bunker_vlsfo_price_lag_1,bunker_vlsfo_price_lag_7,bunker_vlsfo_price_lag_30,bunker_vlsfo_price_7d_avg,bunker_vlsfo_price_30d_avg,bunker_ifo380_price_lag_1,bunker_ifo380_price_lag_7,bunker_ifo380_price_lag_30,bunker_ifo380_price_7d_avg,bunker_ifo380_price_30d_avg,china_iron_ore_imports_lag_1,china_iron_ore_imports_lag_7,china_iron_ore_imports_lag_30,china_iron_ore_imports_7d_avg,china_iron_ore_imports_30d_avg,month,day_of_week,monsoon_flag,cyclone_season_flag,cyclone_active,days_since_last_cyclone
2022-03-01,2546.0,forward_filled,2175.0,forward_filled,3111.0,forward_filled,2983.0,forward_filled,1715.0,forward_filled,,,,,149.68,forward_filled,3156.0,forward_filled,87.0,real,76.159,forward_filled,938.0,706.0,forward_filled,,44.145013141138534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,
2022-03-22,2546.0,real,2175.0,real,3111.0,real,2983.0,real,1715.0,real,,,,,149.68,real,3156.0,real,87.0,forward_filled_monthly,76.159,real,938.0,706.0,real,,44.145013141138534,,2546.0,,,,,2175.0,,,,,3111.0,,,,,2983.0,,,,,1715.0,,,,,149.68,,,,,3156.0,,,,,76.159,,,,,938.0,,,,,706.0,,,,,87.0,,,,,3,1,0,0,0,
2022-03-23,2575.0,real,2100.0,real,3272.0,real,3016.0,real,1745.0,real,,,,,149.57,real,3110.0,real,87.0,forward_filled_monthly,76.53,real,943.0,719.0,real,,44.75790500447069,,2546.0,,,,,2175.0,,,,,3111.0,,,,,2983.0,,,,,1715.0,,,,,149.68,,,,,3156.0,,,,,76.159,,,,,938.0,,,,,706.0,,,,,87.0,,,,,3,2,0,0,0,
2022-03-24,2567.0,real,1969.0,real,3379.0,real,3033.0,real,1769.0,real,,,,,149.63,real,3113.5,real,87.0,forward_filled_monthly,76.305,real,966.0,741.0,real,,44.58883138699976,,2575.0,,,,,2100.0,,,,,3272.0,,,,,3016.0,,,,,1745.0,,,,,149.57,,,,,3110.0,,,,,76.53,,,,,943.0,,,,,719.0,,,,,87.0,,,,,3,3,0,0,0,
2022-03-25,2544.0,real,1887.0,real,3413.0,real,3020.0,real,1782.0,real,,,,,149.87,real,3245.0,real,87.0,forward_filled_monthly,76.285,real,953.5,726.5,real,,44.1027447367708,,2567.0,,,,,1969.0,,,,,3379.0,,,,,3033.0,,,,,1769.0,,,,,149.63,,,,,3113.5,,,,,76.305,,,,,966.0,,,,,741.0,,,,,87.0,,,,,3,4,0,0,0,
2022-03-28,2484.0,real,1734.0,real,3416.0,real,2991.0,real,1787.0,real,,,,,150.14,real,3331.5,real,87.0,forward_filled_monthly,76.09,real,953.5,729.5,real,,42.834692605738745,,2544.0,,,,,1887.0,,,,,3413.0,,,,,3020.0,,,,,1782.0,,,,,149.87,,,,,3245.0,,,,,76.285,,,,,953.5,,,,,726.5,,,,,87.0,,,,,3,0,0,0,0,
2022-03-29,2417.0,real,1639.0,real,3337.0,real,2946.0,real,1774.0,real,,,,,150.14,real,3531.5,real,87.0,forward_filled_monthly,75.666,real,938.5,717.5,real,,41.41870105941962,,2484.0,,,2525.5714285714284,,1734.0,,,1954.142857142857,,3416.0,,,3291.285714285714,,2991.0,,,2996.0,,1787.0,,,1755.2857142857142,,150.14,,,149.81571428571428,,3331.5,,,3234.785714285714,,76.09,,,76.17057142857142,,953.5,,,947.2142857142857,,729.5,,,720.7857142857143,,87.0,,,87.0,,3,1,0,0,0,
2022-03-30,2369.0,real,1646.0,real,3236.0,real,2875.0,real,1755.0,real,0.031586605673293355,0.9108300316211578,,,150.61,real,3531.5,real,87.0,forward_filled_monthly,75.823,real,929.5,715.5,real,,40.40425935459398,,2417.0,2546.0,,2500.285714285714,,1639.0,2175.0,,1878.5714285714287,,3337.0,3111.0,,3309.1428571428573,,2946.0,2983.0,,2980.5714285714284,,1774.0,1715.0,,1761.0,,150.14,149.68,,149.9485714285714,,3531.5,3156.0,,3288.4285714285716,,75.666,76.159,,76.12257142857143,,938.5,938.0,,946.0,,717.5,706.0,,722.1428571428571,,87.0,87.0,,87.0,,3,2,0,0,0,
2022-03-31,2358.0,real,1760.0,real,3141.0,real,2808.0,real,1735.0,real,0.05073251806448475,0.8567805265820615,,,150.84,real,3741.0,real,87.0,forward_filled_monthly,75.928,real,915.5,716.0,real,,40.171783130571434,,2369.0,2546.0,,2473.4285714285716,,1646.0,2175.0,,1819.2857142857142,,3236.0,3111.0,,3313.4285714285716,,2875.0,2983.0,,2955.5714285714284,,1755.0,1715.0,,1763.857142857143,,150.61,149.68,,150.1142857142857,,3531.5,3156.0,,3372.0,,75.823,76.159,,76.08957142857143,,929.5,938.0,,942.7857142857143,,715.5,706.0,,723.5714285714286,,87.0,87.0,,87.0,,3,3,0,0,0,
2022-04-01,2357.0,real,1864.0,real,3073.0,real,2755.0,real,1695.0,real,0.060365913166409345,0.8295851531537033,,,159.85,real,3741.0,real,86.0,real,75.995,real,904.5,706.0,real,,38.61218738992603,,2358.0,2575.0,,2442.285714285714,,1760.0,2100.0,,1785.5714285714287,,3141.0,3272.0,,3285.0,,2808.0,3016.0,,2918.285714285714,,1735.0,1745.0,,1756.7142857142858,,150.84,149.57,,151.58285714285714,,3741.0,3110.0,,3462.1428571428573,,75.928,76.53,,76.01314285714285,,915.5,943.0,,937.2857142857143,,716.0,719.0,,721.7142857142857,,87.0,87.0,,86.85714285714286,,4,4,0,1,0,
