column,meaning,source,pipeline_version,dtype,unit
bci,Baltic Capesize Index,Baltic Shipping Indices,3.0.0,float64,
bci_30d_avg,30d trailing avg of bci; current day excluded,Feature Engineer v3,3.0.0,float64,
bci_30d_std,30d trailing std of bci; current day excluded,Feature Engineer v3,3.0.0,float64,
bci_30d_vol,30d trailing vol of bci; current day excluded,Feature Engineer v3,3.0.0,float64,
bci_7d_avg,7d trailing avg of bci; current day excluded,Feature Engineer v3,3.0.0,float64,
bci_7d_std,7d trailing std of bci; current day excluded,Feature Engineer v3,3.0.0,float64,
bci_7d_vol,7d trailing vol of bci; current day excluded,Feature Engineer v3,3.0.0,float64,
bci_90d_avg,90d trailing avg of bci; current day excluded,Feature Engineer v3,3.0.0,float64,
bci_90d_std,90d trailing std of bci; current day excluded,Feature Engineer v3,3.0.0,float64,
bci_90d_vol,90d trailing vol of bci; current day excluded,Feature Engineer v3,3.0.0,float64,
bci_lag_1,1-calendar-day lag of bci,Feature Engineer v3,3.0.0,float64,
bci_lag_30,30-calendar-day lag of bci,Feature Engineer v3,3.0.0,float64,
bci_lag_7,7-calendar-day lag of bci,Feature Engineer v3,3.0.0,float64,
bci_outlier_flag,1 when bc has |z-score| > 4.0,Feature Engineer v3 QC,3.0.0,int64,
bci_status,Upstream field preserved in master feature table,Joined upstream source,3.0.0,object,
bdi,Baltic Dry Index,Baltic Shipping Indices,3.0.0,float64,
bdi_30d_avg,30d trailing avg of bdi; current day excluded,Feature Engineer v3,3.0.0,float64,
bdi_30d_roc,Upstream field preserved in master feature table,Joined upstream source,3.0.0,float64,
bdi_30d_std,30d trailing std of bdi; current day excluded,Feature Engineer v3,3.0.0,float64,
bdi_30d_vol,30d trailing vol of bdi; current day excluded,Feature Engineer v3,3.0.0,float64,
bdi_7d_avg,7d trailing avg of bdi; current day excluded,Feature Engineer v3,3.0.0,float64,
bdi_7d_std,7d trailing std of bdi; current day excluded,Feature Engineer v3,3.0.0,float64,
bdi_7d_vol,7d trailing vol of bdi; current day excluded,Feature Engineer v3,3.0.0,float64,
bdi_90d_avg,90d trailing avg of bdi; current day excluded,Feature Engineer v3,3.0.0,float64,
bdi_90d_std,90d trailing std of bdi; current day excluded,Feature Engineer v3,3.0.0,float64,
bdi_90d_vol,90d trailing vol of bdi; current day excluded,Feature Engineer v3,3.0.0,float64,
bdi_lag_1,1-calendar-day lag of bdi,Feature Engineer v3,3.0.0,float64,
bdi_lag_30,30-calendar-day lag of bdi,Feature Engineer v3,3.0.0,float64,
bdi_lag_7,7-calendar-day lag of bdi,Feature Engineer v3,3.0.0,float64,
bdi_outlier_flag,1 when bd has |z-score| > 4.0,Feature Engineer v3 QC,3.0.0,int64,
bdi_status,Upstream field preserved in master feature table,Joined upstream source,3.0.0,object,
bhsi,Baltic Handysize Index,Baltic Shipping Indices,3.0.0,float64,
bhsi_30d_avg,30d trailing avg of bhsi; current day excluded,Feature Engineer v3,3.0.0,float64,
bhsi_30d_std,30d trailing std of bhsi; current day excluded,Feature Engineer v3,3.0.0,float64,
bhsi_30d_vol,30d trailing vol of bhsi; current day excluded,Feature Engineer v3,3.0.0,float64,
bhsi_7d_avg,7d trailing avg of bhsi; current day excluded,Feature Engineer v3,3.0.0,float64,
bhsi_7d_std,7d trailing std of bhsi; current day excluded,Feature Engineer v3,3.0.0,float64,
bhsi_7d_vol,7d trailing vol of bhsi; current day excluded,Feature Engineer v3,3.0.0,float64,
